,Question Asked,Agency
572,how can I claim child relief for a child over 16 years old,IRAS IIT
573,considered in the phace 2C homeschool distance,MOE
574,Change of residential address procedure,ICA
575,I dont have the simpass id,IRAS IIT
576,How do i withdraw from p1 registrtion,MOE
577,how to claim income,IRAS IIT
578,May I know whether rental deposit is taxable,IRAS IIT
579,enlistment day bring what huh?,MINDEF
580,Does the nicf scheme still available for courses,SSG
581,normal car to commercial car,LTA
582,How can check my medical screening time,MINDEF
583,Hi I wish to make an enquiry regards to wts grant and how to go about,SSG
584,You mean I neednt have to lodge the appointment of auditors with ACRA although the aannual report is audited by the auditors,ACRA
585,Hello I am PRC citizen and i have 10 year US visa may i stay in Singapore with 96 hours,ICA
586,Because this is the frist time I learn to submit my income tax return,IRAS IIT
587,What is the after market exhaust is legal for xmax 300,LTA
588,I had got my visa transferred last year to my new passport Am unable to retrieve the new visa,ICA
589,edit income tax form,IRAS IIT
590,Where to incorporate a sole proprietorship,ACRA
591,I forgot to take back my autopass after inserting in the machine in woodlands checkpoint,LTA
592,What happens if I dont submit any choices for JAE,MOE
593,How to print my recently approved REP,ICA
594,I have checked online but dont see any tax bill,IRAS IIT
595,to check status of gst registration,IRAS GST
596,salary to key in is monthly or annual,IRAS IIT
597,Do you conduct sales training to our inhouse training,SSG
598,how to amend email adreess,SSG
599,for services rendered to head office and branches do the company charge gst,IRAS GST
600,I would like to check where am I able to search for courses,SSG
601,procedure after pr approval,ICA
602,Hi Jamie I would like to apply for Workfare Training Support Scheme I tried to do via my feedback but was unsuccessful,SSG
603,wrong amunt submitted,IRAS IIT
604,I am applying LTVP for my wifethe application form ask for DC card nobut she is not in singapore how,ICA
605,any video production course,SSG
606,I am going through singapore to Australia from india,ICA
607,apply certificate of tax residence,IRAS IIT
608,reprint family rep,ICA
609,Is unpaid salary taxable,IRAS IIT
610,any helpline number,ICA
611,EARLIEST DATE TO SEND FOR VEHICLE INSPECTION,LTA
612,Hi I need my recent ICT payslip to claim my make up pay from my company I have updated my employment status at least 3 months before my ICT commenced,MINDEF
613,I have EP how can I apply for secondary school for my daughter please,MOE
614,we would like to check a vehicle that he own we understand that the vehicle is already ending but he receive a text notifying him to pay for the road tax,LTA
615,Do you have a booth for us to take our passport sized pboto,ICA
616,PR main application declaration,ICA
617,How much my road tax for car sju2616g,LTA
618,My previous employer has not filed my IR8 return,IRAS IIT
619,when will i get laid,MINDEF
620,can my business name be different to entity name,ACRA
621,I want to pay my pr application fees,ICA
622,I need Singapore visa,ICA
623,drive into thailand,LTA
624,where do I ger application form for identity card,ICA
625,I want to bid car plate number,LTA
626,how much for AGM penalty,ACRA
627,I cannot access update my profile,MINDEF
628,Id like to file a police report against a Malaysian person who threatened me with bodily harm whilst I was in Kuala Lumpur in Malaysia last Friday,SPF
629,Can I pay in cash for the COC,SPF
630,Bidding results,LTA
631,can a share be less than a penny,ACRA
632,how to get a copy of my road tax,LTA
633,Why my Son never receive any communication on NS before,MINDEF
634,is insurance deductible rental expense,IRAS IIT
635,I have lost my phone today do i need to make a report,SPF
636,I WANT TO BUY E DAY LIC ON 24 JUL,LTA
637,How many days to wait to know Income tax amount,IRAS IIT
638,If i just change my posb status do i still get the 750,MINDEF
639,how to register for Vehicle Registration Number,LTA
640,LOST OF PASSPORT,ICA
641,Hi I am Doris Teo have signed up for tablet course on 2962019 672019 would like to check if the course is on If yes kindly informed me the detail and venue,SSG
642,As per Singapore rule for new born kids must apply the Pass within 42 days so I applied for LTVP and its in the process so during this process do we need to get VISA,ICA
643,How to renew my registered company,ACRA
644,can I check why I cannot use pte ltd,ACRA
645,can i call for guidance for e file,IRAS IIT
646,with vftf can i stay in singapore for 3 days,ICA
647,I cannot view my NS booklet,MINDEF
648,Hi Ms Jamieplease advise me how to file the AGM in which web page address can i do the filing,ACRA
649,Xingnan Primary School,MOE
650,how to talk to your staff,ACRA
651,road tax for 1998cc,LTA
652,Speed camera offend,SPF
653,tax clearance responsibility should be employee or employer,IRAS IIT
654,How to furnish the drivers details,SPF
655,When giro deduction will be made every month,IRAS IIT
656,i cant book my ippt as i cannot click on the button,MINDEF
657,where to show in IR8A,IRAS IIT
658,6 month road tax renewal,LTA
659,hwo cn i stop my giro to LTA this is for my road tax payment,LTA
660,JOIN FORCE,SPF
661,my ic is ready for collection on 200619,ICA
662,I have loss my driving license so can I know where to reportthanks,SPF
663,exit permit pending approval,MINDEF
664,can i claim my exam fee,SSG
665,Hi Jamie I am looking at a course certification that is USD 5250 As an EP but employed by a financial services company Am I able to claim relief for this in 2019,IRAS IIT
666,Hi jamie I just received a phone scam call how do I report,SPF
667,Hi how do i get the new uniforms for ICT as Im still having the old ones,MINDEF
668,NS excellent award how to redeem voucher,MINDEF
669,A permanent resident been made bankrupt Can bankrupt permanent resident renew her pr status,ICA
670,may I know if to report total salary for the whole yr for a worker who has left early 2018 and back to work later in 2018 he has pay his tax but not sure for which YA,IRAS IIT
671,Retain number,LTA
672,HS Code for roasted coffee beans,AVA
673,how soon will i receive the registration mark,LTA
674,need an email address,IRAS IIT
675,can i file my annual returns in hard copy,ACRA
676,renew business using singpass,ACRA
677,do i need to send fingerprint if i have applied for police certificate before,SPF
678,Gd morning i am an owner wanted to deregister my vehicle,LTA
679,hi how can i claim for a tax rebate since i am a wide supporting my husband back in the philippines,IRAS IIT
680,Hi I would want to renew my passport now as I am planning to travel in Nov 2019 My passport expiring on Apr 2020 But the system prompted that my passport is not due,ICA
681,how do i change my appointment date for director for sole,ACRA
682,How can I find out the vacancy of Student Care Centres,MOE
683,how to check training record,SSG
684,Hi can i update my residential address online,ICA
685,Fine for picking up passenger at bus stop,LTA
686,how i download my e visa,ICA
687,Still can register non ul2272 escooter,LTA
688,If i change my address on my NRIC will i need to inform my childs school,ICA
689,what do u mean by visa withdawn,ICA
690,I have received the in principal approval for my PR application May I leave the country after submitting the documents my appointment is scheduled on 8 august,ICA
691,It says I havent attempted my PreEnlistee IPPT although I already passed it on 14 December 2018 My enlistment is 5 July 2019 so it should still be valid,MINDEF
692,Hi just want to check wether how to report regarding the loan sharks matter,SPF
693,i could not find the annex a fporms,ICA
694,how to encashment,LTA
695,can i ask u how can i print out the company profile,ACRA
696,which are the countries free visa to syngapore,ICA
697,how do i update my car colour,LTA
698,history of ava,AVA
699,Skills future credit can only be used once,SSG
700,How many companies are there in Singapore,ACRA
701,can a branch exempt from audit if there is no revenue,ACRA
702,Unwed Mother with fathers name in the birth cert can I still register online,MOE
703,Cricket cca in secondary schools,MOE
704,How to contact your office for details,IRAS IIT
705,can a minor sit in the drivers seat,SPF
706,how do i clear my tax in the current company,IRAS IIT
707,Do I need approval from LTA for cruise control activation,LTA
708,enrollment for MOE kindergarten year born 2016 MOE Kindergarten,MOE
709,do we need to file ir21 for malaysian who work for more than 1 year,IRAS IIT
710,Does WDA organize jobfair,SSG
711,BUYING BIZ FILE,ACRA
712,How much to replace my iu,LTA
713,contact no of import and export section,AVA
714,is national day free for opc car,LTA
715,I have an approved company name how do I proceed next,ACRA
716,is First aid refresher course egible for SkillsFuture Credit,SSG
717,the policy about MOE Kindergarten MK,MOE
718,if visa extension is rejected how to make appela,ICA
719,who decide OMV,LTA
720,do i need my fathers qualification for applying pr,ICA
721,May i know contact number of IRAS,IRAS IIT
722,apply for esa token,LTA
723,what are ru vehicles,LTA
724,Hi if i have goods sending into singapore total up more than 400sgd but its in 2 separate invoice of 200sgd each will i still be charged for GST,IRAS GST
